Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
49,27,86.46,Yire,,$4.50/lb,"$5,643.00 ",Coffee Libre,Juan Carlos Manueles Ventura,,Honduras,2015,Santa Elena,La Paz,"Lemonade mouthfeel, enzymatic","Heavy sugars, red berries, vanilla, peppercorn, buttery, blackberry, raspberry, orange marmalade, passion fruit","Tartaric, citric, finger lime",,Pache,,-,Honduras
50,28,86.25,Las Amazonas,,$4.20/lb,"$6,375.60 ","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Ezri Moisés Herrera Urizar,,Honduras,2015,Chinacla,La Paz,"Crisp finish, black tea","Apricot skin, raisin, chocolate, black current, melon, basil, cinnamon, cacau","Lemon, citric, juicy, tartaric, bright",,Catuai,,-,Honduras
51,29,86.08,Palo Seco,,$4.40/lb,"$12,487.20 ","Nippon Coffee Trading Co.,Ltd",Juan Claros Cardona,,Honduras,2015,Masaguara,Intibuca,"Rich and dense, tropical and very sweet chocolate, sweet long finish","Rich ripe cherry, roses, chocolate, strawberry, cinnamon","Juicy, citric, bright",,Catuai,,-,Honduras
52,30a,86.04,El Matazano,,$4.60/lb,"$5,464.80 ",honuKATOCOFFEE Inc.,Francisco Antonio Castillo David,,Honduras,2015,San Pedro Tutule,La Paz,"Depth, dimension","Caramel, butter, mango, tropical fruits, bakers chocolate, rose","Smooth, soft acidity",,Catuai,,-,Honduras
53,30b,86.04,La Arada,,$4.60/lb,"$5,161.20 ","Wataru & Co., Ltd.",Fredy Orlando Perez Amaya,,Honduras,2015,San Andres,Lempira,"Creamy, viscous","Hazelnut, caramel, almond, caramel, cherry, honey, black currant","Bright, citric, sparkling, tartaric",,Catuai,,-,Honduras
54,32,85.88,Los Injertos,,$4.20/lb,"$4,435.20 ",WATARU for TAKAMURA COFFEE ROASTERS,Dimas Antonio Claros Cardona,,Honduras,2015,Marcala,La Paz,Creamy mouthfeel,"Grape, green apple, kiwi, plum, blackberry, sweet toast, cranberry","Malic, bright, complex",,Catuai,,-,Honduras
55,33,85.79,Bañaneros,,$4.50/lb,"$9,504.00 ",Coffee Libre,Hotilio Hernandez Membreño,,Honduras,2015,Santiago,La Paz,Beautiful balance,"Sweet tropical fruit, nutmeg, black tea, spice, cedar, thyme","Green apple, juicy, citric",,IHCAFE 90,,-,Honduras
56,34,85.67,Integral el Cipres (2015),,$4.70/lb,"$7,755.00 ",Coffee Libre,Catalino Vasquez Hernandez,,Honduras,2015,Santiago,La Paz,Savory,"Ripe cherry, sugar cane, vanilla, grapefruit, tangerine, honey, molasses, cranberry","Extremely tartaric, intense, similar to Kenyans, juicy",,Catuai,,-,Honduras
57,35,85.5,El Mineral,,$4.20/lb,"$6,930.00 ","RYANS COFFEE ROASTERS, Cafe Nara, Coffee Montage, KOALA COFFEE FACTORY, Cafe Diart, Cafe Hong-Si",Salvador Sanchez Enrriquez,,Honduras,2015,Comayagua,Comayagua,"Lush body, bright finish","Tropical fruit notes, spicy, cinnamon, chocolate, caramel, black tea, pear, berries, fruit skin","Juicy, citric, malic, bright",,IHCAFE 90,,-,Honduras
58,36,85.33,El Aguacate,,$4.30/lb,"$11,352.00 ","GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Magdaleno Rodriguez,,Honduras,2015,Masaguara,Intibuca,"Dry perfume, paprika, vegetable notes","Mandarin orange, blackberry, red grape, lime zest, raspberry ice cream","Tart, phosphoric, very sweet",,Catuai,,-,Honduras
59,37,85.21,Buenas Noches,,$4.20/lb,"$8,316.00 ","Wataru & Co., Ltd.",Mauricio Colindres,,Honduras,2015,Moroceli,El Paraiso,"Creamy, harmonious","Spice, cedar, herbs, melon, red apple, nuts","Lemon lime, tartaric, bit of tropical fruit",,Parainema,,-,Honduras
60,38,85.13,Pantanal,,$4.10/lb,"$5,682.60 ",MOMOS COFFEE,Marysabel Caballero Garcia,,Honduras,2015,Chinacla,La Paz,Layered,"Lemon, pineapple, black current, raisins, lemonade, chocolate, caramel","Lemon, citric, juicy, bright",,Catuai,,-,Honduras
61,1a,91.7,El Puente (2016),,$120.50/lb,"$47,718.00 ",Kasai Coffee,Marysabel Caballero Garcia,"1,550",Honduras,2016,Chinacla,La Paz,"Long, jammy finish, champagne finish, silky","Cherry blossoms, rose, strawberry lemonade, lemon curd, peach, wild rose coriander seed, papaya, lemongrass, red wine, jasmine.","Lively, juicy malic, bright, crisp vibrant",Washed,Gesha,,-,Honduras
62,1b,91.7,El Puente (2016),,$120.10/lb,"$47,559.60 ",Maruyama Coffee & Toa Coffee,Marysabel Caballero Garcia,"1,550",Honduras,2016,Chinacla,La Paz,"Long, jammy finish, champagne finish, silky","Cherry blossoms, rose, strawberry lemonade, lemon curd, peach, wild rose coriander seed, papaya, lemongrass, red wine, jasmine.","Lively, juicy malic, bright, crisp vibrant",Washed,Gesha,,-,Honduras
63,2a,90.84,El Nacimiento No. 1 (2016),,$30.30/lb,"$19,998.00 ",Campos Coffee,Job Neel Cacerez Diaz,"1,650",Honduras,2016,Santa Barbara,Santa Barbara,"Crystal clean, transparent, cane sugar long lively finish, harmonious structure, complex","Black current, floral, hibiscus, Asian pear, apricot, peach, melon, jasmine, gooseberry, ice tea","Malic, apple ,structured with spine, complex, sparking, very refreshing, stable, phosphoric",Washed,,,-,Honduras
64,2b,90.84,El Nacimiento No. 1 (2016),,$30.40/lb,"$18,057.60 ",Wataru for SHRUB COFFEE,Job Neel Cacerez Diaz,"1,650",Honduras,2016,Santa Barbara,Santa Barbara,,"Black current, floral, hibiscus, Asian pear, apricot, peach, melon, jasmine, gooseberry, ice tea","Malic, apple ,structured with spine, complex, sparking, very refreshing, stable, phosphoric",Washed,Bourbn,,-,Honduras
65,3a,90.43,Los Cedros,,$39.00/lb,"$12,870.00 ",Camel Step Roasters,Juan Manuel Hernandez Lopez,"1,600",Honduras,2016,Morazan,Yoro,"Heavy body intense body, dusted cocoa finish, spicy finish","Blueberry strawberry fruit bomb, candied apple, orange blossom, red wine, sangria, process heavy, pinot-noir, black current spicy candy bar","Structured, tartaric",Washed,IHCAFE 90,,-,Honduras
66,3b,90.43,Los Cedros,,$38.10/lb,"$12,573.00 ",Modern foods,Juan Manuel Hernandez Lopez,"1,600",Honduras,2016,Morazan,Yoro,"Heavy body intense body, dusted cocoa finish, spicy finish","Blueberry strawberry fruit bomb, candied apple, orange blossom, red wine, sangria, process heavy, pinot-noir, black current spicy candy bar","Structured, tartaric",Washed,IHCAFE 90,,-,Honduras
67,4,89.91,El Guayabo (2016),,$25.00/lb,"$34,650.00 ",Solberg & Hansen AS,Mario Alexis Moreno Leiva,"1,650",Honduras,2016,Las Vegas,Santa Barbara,Super long sweet finish transparent cup,"Apple, black tea current, mango, papaya, orange, caramel, chocolate, strawberry, tangerine, panella, pumpkin","Refined, persistent, effervescent, lime, juicy",Washed,Pacas,,-,Honduras
68,5,89.4,El Espejo (2016),,$14.90/lb,"$18,684.60 ","Coffeejumbbang & Museo co.,Ltd (Republic of South Korea)",Fredi Leonel Castellanos Hernandez,"1,800",Honduras,2016,Las Vegas,Santa Barbara,"Dense, viscous, thick mouth feel, long nice after taste, creamy","Vanilla, honey, dried fruit, sweet peach, strawberry soda, dried cranberry, red apple,","Lively, silky, crisp, tartaric",Washed,Pacas,,-,Honduras
69,6,89.01,Mira Valle (2016),,$22.00/lb,"$30,492.00 ","Hiro Coffee Co., Ltd.",Miroslav Cuculiza,"1,600",Honduras,2016,Guaimaca,Francisco Morazan,"Viscous, lively, brown sugar, elegant","Floral, rose, muscat, honey, pistachio, cherry, walnut, perfume, orange blossom, raspberry","Green apple, complex, orange",Washed,Catuai,,-,Honduras
70,7,88.81,El Liquidambo,,$14.60/lb,"$25,053.60 ",Mercanta The Coffee Hunters for Colonna,Guadalupe Rodriguez,"1,744",Honduras,2016,Masaguara,Intibuca,"Creamy, toffee, viscous, juicy, creamy","Butterscotch, green grape, white peach orange, blackberry, lemon, citrus lemon earl grey tea, honey, panella, white wine, raisin,","Lime citric bright, malic, good all the way through, apple skin",Washed,Lempira,,-,Honduras
