Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
148,25,87.94,Finca-El-Llano – Hector Bonilla Cruz,,$8.10/lb,"$8,571.58 ","Wataru & Co., Ltd",Hector Bonilla Cruz,1900,Costa Rica,2018,Leon Cortes Llano Bonito,Leon Cortes Llano Bonito,"Sweet dry finish, red wine-like, delicate, bright, fruity jelly","Chocolate, caramel apple, green apple, stone fruit, black tea, honey, toffee, sweet, banana, papaya, coconut","Malic, juicy, lemon, white grapes",Honey,Bourbon mejorado,,,Costa Rica
149,26,87.91,Cuadro El Rio – Teneria Pirro Antonio Gomez Ltda,,$22.00/lb,"$23,280.84 ",Caffeine Lab,Teneria Pirro Antonio Gomez Ltda,1600,Costa Rica,2018,"Heredia,","San Rafael, Getsemani","Well balanced, clean, cherry finish, juicy","Elderflower, orange peel, earl grey tea, cassis, white grape, raisins, red ginger","Citric, tartaric, refined, well balanced, starfruit",Natural,Geisha,,,Costa Rica
150,27,87.88,Doña Clemencia – Beneficio Brumas Del Zurqui S.A,,$11.30/lb,"$11,957.89 ",Fisher Coffee / Joker Coffee / Latorre & Dutch Coffee,Beneficio Brumas Del Zurqui S.A,1550,Costa Rica,2018,"Heredia,",San Isidro San Francisco,"Lingering finish, complex, full, rich, round body, well balanced","Flower, grapefruit, green apple, cherries, apple, white peach, dark chocolate, sugar cane","Malic, phosphoric",Natural,Geisha,,,Costa Rica
151,28,87.82,El Alto – Luis Enrique Navarro Porras,,$11.20/lb,"$11,852.06 ",Kyokuto Fadie Corporation,Luis Enrique Navarro Porras,1750,Costa Rica,2018,"Aserri,","la Legua, Parritilla","Silky, creamy, soft, juicy, long aftertaste","Green apple, grape, papaya, sugarcane, green grape, orange, jasmine, passion fruit, mandarin orange, chocolate fudge","Phosphoric, tartaric, refined",Washed,Catuai,,,Costa Rica
152,29,87.82,Dragon – Luis Alberto Monge Ureña,,$9.61/lb,"$14,618.64 ",Coffee Libre,Luis Alberto Monge Ureña ,1500,Costa Rica,2018,La Bandera de Dota,La Bandera de Dota,"Candy, fruit, peach, juicy, refined, crisp, long aftertaste, well balanced","Lemon, citrus, green apple, chocolate, strawberry, apricot, vanilla, honey","Citric, very refined, sauvignon blanc",Washed,Caturra,,,Costa Rica
153,30,87.59,Juanachute Punta – Luis Anastasio Castro Vargas,,$7.90/lb,"$8,621.19 ",Honu Kato Coffee Inc.,Luis Anastasio Castro Vargas,1700,Costa Rica,2018,"Len Cortes, San Pablo",San Pablo,"Chocolate, nutty, creamy","Roses, date, molasses, raisin, grapes, raspberries, orange, pineapple","Phosphoric, tartaric, crisp, tangy",Honey,caturra-catuai-typica,,,Costa Rica
154,31,87.5,Finca Las Nubes – Luis Pablo Bonilla Solis,,$8.00/lb,"$8,465.76 ","Wataru & Co., Ltd",Luis Pablo Bonilla Solis,1650,Costa Rica,2018,Leon Cortes Llano Bonito,Leon Cortes Llano Bonito,"Smooth, rich, dense, very balanced, good body","Pomelo, lime, red apple, banana, stone fruits, chocolate, nuts, brown sugar, raisins","Green apple, tartaric, grapes",Honey,Bourbon mejorado,,,Costa Rica
155,32,87.38,Sol Naciente – Luis Arturo Bonilla Chacón,,$8.00/lb,"$8,465.76 ",Kyokuto Fadie Corporation,Luis Arturo Bonilla Chacón,1650,Costa Rica,2018,Santa Mara de Dota,Santa Mara de Dota,"Super clean, refined, structured, classic, sugary","Apricot, melon, red plum, lemon, apple, flower, vanilla, nutmeg, toffee, brown sugar, green tea, honey","Malic, green apple, citric, orange",Washed,Catuai,,,Costa Rica
156,33,87.26,Lorena – Manuel Antonio Barrantes Zuñiga,,$9.20/lb,"$6,997.43 ",Caffeine Lab,Manuel Antonio Barrantes Zuñiga,1400,Costa Rica,2018,"Naranjo,","Cirri, Lordes","Classic profile, crisp, bright","Green apple, hazelnuts, brown sugar, violet, dark chocolate, almonds, sugar cane, date","Citric, juicy, yummy",Honey,Tipica Too,,,Costa Rica
157,34,87,Finca Los Tucanes – Maria Auxiliadora Bonilla Solis,,$10.50/lb,"$11,111.31 ","ying fung international co., ltd.",Maria Auxiliadora Bonilla Solis,1850,Costa Rica,2018,Leon Cortes Llano Bonito,Leon Cortes Llano Bonito,"Molasses sweetness, well balanced, delicate","Orange, caramel, grapefruit, pineapple, roasted peanut, cashew nut, prune juice, cocoa seed, spices","Citric, orange, malic",Honey,Geisha,,,Costa Rica
158,35,86.56,San Cristobal – Eduardo Navarro Jimenez,,$13.40/lb,"$14,180.15 ",Brew92 Cafe & Roastery,Eduardo Navarro Jimenez,1600,Costa Rica,2018,"Desamparados,",Distrito San Cristobal,"Juicy, clean, smooth, intense","Black berry, dark chocolate, orange candy, tobacco, grapes, plums, lime juice",Citric,Natural,Caturra Catua,,,Costa Rica
159,36,86.21,Volcan Azul – Finca FCJ Volcán Azul S.A,,$16.10/lb,"$12,245.50 ","Coffee Me Up (Korea), 331Roasters, cafe.dorandoran, Note coffee Roasters",Finca FCJ Volcán Azul S.A,1650,Costa Rica,2018,"GRECIA,",SAN ROQUE,Bold,"Butter, pipe tobacco, dark chocolate, cocoa nibs, anise, cedar, menthol cigarettes, red apples, honey, grapes, nuts","Malic, tartaric, well structures, approachable",Honey,GEISHA,,,Costa Rica
160,1a,91.14,Don Dario,429.91,$65.30/lb,"$28,073.12 ","Maruyama Coffee, Sarutahiko Coffee, Goodboybob Coffee, LONDON DAIRY CAFÉ, Orsir Coffee",Grupo Los Grandes de Copey,2000,Costa Rica,2019,"Canton Dota, Distrito Copey",Tarrazú,"viscous body, consitent, creamy","red grape, cacao seeds, baked pear, floral, roselle, grapefruit, white wine, red cherry, turkish delight, dark choclate with cherries, rose blossom tea, rum","citric, malic, lactic, phosphoric, vibrant",Anaerobic,Gesha,36,36,Costa Rica
161,1b,91.14,Don Dario,429.91,$64.10/lb,"$27,557.23 ",Hisashi Yamamoto Coffee INC. (Unir),Grupo Los Grandes de Copey,2001,Costa Rica,2019,"Canton Dota, Distrito Copey",Tarrazú,"viscous body, consitent, creamy","red grape, cacao seeds, baked pear, floral, roselle, grapefruit, white wine, red cherry, turkish delight, dark choclate with cherries, rose blossom tea, rum","citric, malic, lactic, phosphoric, vibrant",Anaerobic,Gesha,36,36,Costa Rica
162,2a,91.02,DON CAYITO,760.61,$25.50/lb,"$19,395.56 ","MUSEO Co.,LTD, Arina Ltd (Tob Coffee)",LUIS RICARDO CALDERON MADRIGAL,1950,Costa Rica,2019,"DOTA, JARDIN",Tarrazú,"juciy consisten body, high impact coffee, transparent, refined, buttery, silky","very tropical, passion fruit, apricot, floral, jazmin, rose tea, gingerbread, spices, plum, almond, green mango, white grape juice","complex, citric, phosphoric, bright",Washed,Gesha,7,44,Costa Rica
163,2b,91.02,DON CAYITO,760.61,$25.60/lb,"$19,471.62 ","Time’s Club, Coffee Libre, Valley Coffee Roasters, Proud Mary",LUIS RICARDO CALDERON MADRIGAL,1951,Costa Rica,2019,"DOTA, JARDIN",Tarrazú,"juciy consisten body, high impact coffee, transparent, refined, buttery, silky","very tropical, passion fruit, apricot, floral, jazmin, rose tea, gingerbread, spices, plum, almond, green mango, white grape juice","complex, citric, phosphoric, bright",Washed,Gesha,7,44,Costa Rica
164,3a,90.88,Don Antonio,562.19,$30.10/lb,"$16,921.92 ","Black Gold Coffee Co., Ltd.",Grupo Los Grandes de Copey S.A.,2000,Costa Rica,2019,"Canton Dota, Distrito Copey",Tarrazú,"silky body, long sweet aftertaste, sweet and acid harmony,","very sweet, syrupy, peach, apricot, floral, peach, molasses, incense, mesquite, guava, viscous sweetness, smokey dark fruits","complex, tartaric, malic, bright, sparkling",Honey,Gesha,8,11,Costa Rica
165,3b,90.88,Don Antonio,562.19,$30.00/lb,"$16,865.70 ",Fisher Coffee / Ultimate Coffee Roaster / Latorre & Dutch Coffee,Grupo Los Grandes de Copey S.A.,2001,Costa Rica,2019,"Canton Dota, Distrito Copey",Tarrazú,"silky body, long sweet aftertaste, sweet and acid harmony,","very sweet, syrupy, peach, apricot, floral, peach, molasses, incense, mesquite, guava, viscous sweetness, smokey dark fruits","complex, tartaric, malic, bright, sparkling",Honey,Gesha,8,11,Costa Rica
166,4,89.31,Santa Teresa,"1,058.24",$29.60/lb,"$31,323.90 ",Brew92 Cafe & Roastery,Roger Ureña Hidalgo,2000,Costa Rica,2019,Santa María de Dota,Tarrazú,"integrated acidity and sweetnes, delicate mouthfeel, silky","delicate, black peach tea, refined, high florals, necatrine, mango, passion fruit, melon, black tea, umami, cherry, berries, raspberry","malic, tangy, well structured, tartaric, black grape like",Honey,Gesha,4,4,Costa Rica
167,5,89.22,Vista Al Chirripó,"1,058.24",$40.10/lb,"$42,435.42 ",Sulalat Coffee Trading,RÉGULO UREÑA CHACÓN,1750,Costa Rica,2019,"Pérez Zeledón, Rivas",PZ,"sweet long finish, toffee aftertaste, creamy","stawberry flavored milk, wine, white peach, jazmin, cooked banana, strawberry, positive herby, rose water, fruit mix, jackfruit","elegant, tartaric, butyaric",Honey,Caturra,328,508,Costa Rica
