Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
33,2,90.78,San Ignacio,,$21.10/lb,"$33,492.63","Stumptown Coffee Roasters, Sweet Maria’s, Terroir Coffee",Juana Mamani Huanca,-1,Bolivia,2007,Carrasco La Reserva,Caranavi,,,,Centralized wet processing,Typica (80% ) Caturra (20% ),3.0,6.0,Bolivia
34,3,90.43,Nakhaki (B),,$17.55/lb,"$32,500.55",Mercanta The Coffee Hunters for Fortnum and Mason London and Cafes El Magnifico Barcelona,Braulio Luque Yana,1605,Bolivia,2007,Rosario Entre Rios,Caranavi,,,,Centralized wet processing,Caturra,2.0,12.0,Bolivia
35,4,90.38,Colipampa,,$12.15/lb,"$20,893.21","Maruyama Coffee for Mikatajuku group, Inoue Coffee",Nicolas Carrasco,1954,Bolivia,2007,II Sección Irupana,Sud-Yungas,,,,"Centralized Processing, at the CORACA",Criollo (70% ) Catuai (30% ),2.0,3.0,Bolivia
36,5,89.63,Warmisita – BV,,$10.05/lb,"$17,282.04","KAFFA as, Oslo",Alejandra Ramos Ticona,1632,Bolivia,2007,Coroico,Nor-Yungas,,,,"On, site wet processing, solar drying",Criollo (80% ) Catuai (20% ),10.0,10.0,Bolivia
37,6,89.6,CENAPROC 1257,,$7.10/lb,"$15,026.71",Andronicas World of Coffee in Harrods,Genoveva Condori,1641,Bolivia,2007,San Lorenzo,Caranavi,,,,"Centralized wet processing, solar , mechanical drying",Criollo (90% ) Caturra (10% ),6.0,10.0,Bolivia
38,7,89.45,CENAPROC 0113,,$8.05/lb,"$17,037.32",Time’s Club for C-COOP,Luis Huayhua,1682,Bolivia,2007,San Lorenzo,Caranavi,,,,Centralized wet processing,Catuai (10% ) Caturra (90% ),1.5,10.0,Bolivia
39,8,89.13,Amor de Dios IV,,$5.60/lb,"$13,333.56",Bewleys Ltd,David Chambi Apaza,1671,Bolivia,2007,Taypiplaya,Caranavi,,,,"Centralized wet processing , sun dried",Caturra (50% ) Catuai (30% ) Yellow CatuaiYellow (20% ),3.0,10.0,Bolivia
40,9,88.93,Pico del Tucan – UTZ,,$5.80/lb,"$9,973.71",Bettys and Taylors of Harrogate,Martin Uluri Luque,1750,Bolivia,2007,Carrasco La Reserva,Caranavi,,,,Complete processing at Pico del Tucan plant,Criollo,4.0,8.0,Bolivia
41,10,88.18,Café Inca BV,,$7.80/lb,"$13,412.92","Bontain Coffee Co.,Ltd.",Damian Daniel Montaño Ramos,1880,Bolivia,2007,Coroico,Nor-Yungas,,,,"On, site wet processing, solar drying",Criollo (90% ) Catuai (10% ),2.0,30.0,Bolivia
42,11,86.29,Amor de Dios III,,$5.10/lb,"$12,143.06","TOA COFFEE Co.,Ltd.",Alberto Siles Aduviri,1646,Bolivia,2007,Taypiplaya,Caranavi,,,,"Centralized wet processing , sun dried on tables",Typica(60% ) Caturra (40% ),3.0,10.0,Bolivia
43,12,86.26,Chicaloma,,$6.45/lb,"$11,091.46","Café imports, 49th Parallel Roasters, Ecco Caffe, Sacred Grounds",Martin Huanca,1985,Bolivia,2007,Chicaloma,Sud-Yungas,,,,"Centralized wet, processing, drying at CORACA",Criollo (80% ) Caturra (20% ),2.0,3.0,Bolivia
44,13,86.21,Jatum Kjari,,$4.90/lb,"$9,074.23","Fratello Coffee Co., Zoka Coffee Roasters",Telmo Cahuana,1450,Bolivia,2007,Distrito Cascada,Sud-Yungas,,,,Processing at DESYI SRL plant,Criollo (80% ) Caturra (20% ),16.0,45.0,Bolivia
45,14,86.0,Polen de Café,,$4.95/lb,"$14,405.00","Nippon Coffee Trading Co., Ltd for Doi Coffee","Porfilio Mamani Surco, Gregorio Gonza Mamani, Vicente Gonza Mamani",1700,Bolivia,2007,Carrasco La Reserva,Caranavi,,,,"On, site wet processing, solar drying",Typica (60% ) Caturra (40% ),7.0,19.0,Bolivia
46,15,85.89,Chijchipani,,$5.05/lb,"$14,696.01",Green Mountain Coffee Roasters,Serapio Perez Marca,1557,Bolivia,2007,Chijchipani,Caranavi,,,,"Centralized wet processing, solar drying",Typica (80% ) Caturra (20% ),7.0,10.0,Bolivia
47,16,85.87,Wara,,$5.55/lb,"$8,809.67",Volcafe Speciality for Buck’s County Coffee,Inocencio Mamani Cori,1526,Bolivia,2007,Charia,Sud-Yungas,,,,"On, site wet processing, solar drying",Criollo (80% ) Caturra (20% ),2.0,10.0,Bolivia
48,17,85.76,Pico del Tucan,,$7.05/lb,"$12,123.22",Bewleys Ltd,Humberto Villca,1550,Bolivia,2007,Carrasco La Reserva,Caranavi,,,,"Centralized wet processing, solar drying",Typica (65% ) Caturra (35% ),9.0,9.0,Bolivia
49,18,85.68,Loayza BV,,$4.55/lb,"$7,824.21","Wataru & Co., Ltd.","Mario Condori Chino, Gonzalo Chambi, Santos Lucero limachi Paye",1650,Bolivia,2007,Santa Fé,Caranavi,,,,"On, site wet processing, solar drying",Typica Caturra,4.0,10.0,Bolivia
50,19,85.55,Nectar,,$4.90/lb,"$11,666.86",SUPREMO Kaffeeroesterei Unterhaching,"Pablo Yana Mamani, Anacleto Uluri, Ricardo Olori",1600,Bolivia,2007,Carrasco La Reserva,Caranavi,,,,"On, site wet processing, solar drying",Typica Caturra,10.0,18.0,Bolivia
51,20,85.53,Flor de Mayo,,$5.10/lb,"$12,143.06",Mercanta The Coffee Hunters for James Gourmet Coffee UK and Has Bean Coffee UK,Pedro Castro Conurana,1531,Bolivia,2007,"Siete Estrellas, Chijchipani County",Province of Caranavi,,,,"On, site wet processing, solar drying",Caturra (80% ) Typica (20% ),2.0,10.0,Bolivia
52,21,85.05,Golondrina,,$5.15/lb,"$11,580.88","Coffee Bean International, Inc.","Cipriano Tórrez Blanco, Celso David Mayta Quispe",1500,Bolivia,2007,Caranavi Rural,Caranavi,,,,"On, site wet processing, solar drying",Typica Caturra Catuai,6.0,20.0,Bolivia
53,22,84.87,Cerro Mula de Agua Dulce,,$4.15/lb,"$6,587.41","Wataru & Co., Ltd.",Patricio Fernandez,1350,Bolivia,2007,Carrasco La Reserva,Caranavi,,,,"On, site wet processing, solar drying",Typyca Caturra,4.5,10.0,Bolivia
54,23,84.63,Café Apolo,,$4.90/lb,"$9,722.39",Gala Coffee and Tea Ltd,Angel Raimundo Pamuri Cuqueño,1070,Bolivia,2007,Not Available,Franz Tamayo,,,,"Individual processing. Solar, drying.",Typica,1.0,6.0,Bolivia
55,24,84.61,Cerro Condoriri,,$4.90/lb,"$8,426.07",SUPREMO Kaffeeroesterei Unterhaching,Máximo Yapu Chuyma,1500,Bolivia,2007,Calama,Caranavi,,,,"Centralized processing, solar drying",Catuai,5.0,10.0,Bolivia
56,25,84.5,Machacamarca BV,,$5.24/lb,"$9,010.73",Has Bean Coffee Ltd,Maria Nina Lupe del Rosario Andrade,1790,Bolivia,2007,Chulumani,Sud-Yungas,,,,"On, site wet processing, solar drying",Criollo (80% ) Caturra (20% ),5.0,67.0,Bolivia
57,26,84.11,Ciana,,$4.90/lb,"$13,611.34",Equal Exchange,"Andres Ulluri Luque, Luciano Huanca Flores",1700,Bolivia,2007,Carrasco La Reserva,Caranavi,,,,"Processed on site, solar drying.",Caturra,5.0,10.0,Bolivia
58,1,92.03,Café de Cordillera,,$12.15/lb,"$28,929.06","Maruyama Coffee for Mikatajuku group, Honey Coffee, Adati Coffee and Orsir Coffee",Zenovia R. Charca de Huayhua,1682,Bolivia,2008,San Lorenzo County,Province of Caranavi,,,,Centralized Processing,Criollo 20% Caturra 80% ,5.0,10.0,Bolivia
59,2,90.85,Flor de Mayo,,$12.15/lb,"$24,107.55","Invalsa Coffee®, MA, Bewleys Ltd of Ireland, Sacred Grounds Coffee, CA, Terroir Coffee, MA, TAN Coffee, Canada, Olympia Coffee, WA",Pedro Castro Conurana,1531,Bolivia,2008,"Siete Estrellas, Chijchipani County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Typica 30% Caturra 70% ,2.0,10.0,Bolivia
60,3,89.94,Cima del Jaguar A,,$7.00/lb,"$22,222.60",Kaffebrenneriet as,Braulio Luque Yana,1605,Bolivia,2008,"Kantutani, Rosario de Entre Rios",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra,2.0,13.0,Bolivia
61,4,88.97,Café Ascencion,,$7.70/lb,"$17,315.11","UCC Ueshima Coffee Co., Ltd.",Domingo Mamani Alanoca,1650,Bolivia,2008,"Colonia Alto Ascensión, Rosario Entre Rios County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 75% Criollo 25% ,4.0,7.0,Bolivia
62,5,88.97,Café Caracol,,$6.05/lb,"$11,203.89","Wataru & Co., Ltd.",Jacinto Titirico Ibañez,1563,Bolivia,2008,"Colonia 7 Estrellas, Chijchipani County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Typica 30% Caturra 70% ,3.5,6.0,Bolivia
63,6,88.94,Café Golondrina,,$8.05/lb,"$14,907.66","Invalsa Coffee®, MA, Montana Coffee, MT, TAN Coffee, Canada, Interamerican Coffee GmbH, Germany, Java Blend Coffee, Canada, Olympia Coffee, WA",Celso David Mayta Quispe,1550,Bolivia,2008,"Colonia Copacabana, Rural Caranavi",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 30% Criollo 70% ,5.0,10.0,Bolivia
64,7,88.74,Café Aurelio,,$8.05/lb,"$12,777.99",Times Club for C-COOP,Aurelio Mamani Ramirez,1561,Bolivia,2008,"Colonia Kantutani, Rosario Entre Rios County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Criollo 50% Caturra 50% ,2.0,12.0,Bolivia
65,8,88.47,APECE,,$6.35/lb,"$11,759.46",Kyokuto Fadie Corporation,Julia Tintaya de Patana,1550,Bolivia,2008,"Colonia Sabaya, Carrasco La Reserva County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra 50% Criollo 50% ,6.0,8.5,Bolivia
66,9,87.74,Café Estrella,,$10.55/lb,"$16,746.31",Solberg & Hansen AS,Cruz Quispe Mamani,1682,Bolivia,2008,"Colonia La Estrella, Incahuara County",Province of Caranavi,,,,"Individual processing, selective harvest of ripe cherries, fermentation, washing with clean spring, w",Caturra,3.5,9.0,Bolivia
