Unnamed: 0,Rank,COE_score,Farm,weight_(lbs.),High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,Coffee Growing Area,Farm_size,country
222,24,87.12,Bethania,503.0,$7.10,"$3,571.30",Kyokuto Fadie Corporation,Martha Lucia Albir,1.250 - 1.500 msnm,Nicaragua,2022,,,"Chocolate, Coconut, Honey, Milky, Tartaric, Vanilla, balanced and floral","Brown Sugar , Orange , Tangerine , Apricot, Blackberry, Caramel, Chocolate, Cocoa Powder, Complex, Dark Chocolate, Grapefruit, Green Tea, Hazelnut, Honey, Lemon tart, Milk Chocolate, Mint, Pecan, Raisin, Red Apple, Rhum, Roasted Hazelnut, Stone Fruit, Strawberry, Sweet, Tart,","Bright , Lemon , Bright acid, Citric Acid, Malic Acid, Plum, Tartaric",Honey,Maracaturra,,,Nicaragua
223,25,87.12,Viento Del Espiritu Santo,563.0,$7.30,"$4,109.90",Linking Coffee,Michael Low,1300 msnm,Nicaragua,2022,,,"Apricot, Sweet, Tropical Fruit, pecan and green tea","Brown Sugar , Floral , Honey , Apricot, Bakers Chocolate, Black Tea, Cherries, Citrus, Earl grey, Green Apple, Green Tea, Lemon, Lime, Malt, Pecan, Red Apple, Stone Fruit, Tobacco, Vanilla, Watermelon","Citric Acid , Bright , Lactic, Malic Acid",Natural,Java,,,Nicaragua
224,26,87.09,Puma Punkú,446.0,$5.20,"$2,319.20",Wataru for Voila Coffee,Manuel Rosales Raudales,,Nicaragua,2022,,,"Caramelized, Citrus Fruit, Overall Sweet, Tea-like, Vanilla","Brown Sugar , Caramel , Citric Acid , Orange , Raspberry , Berry, Black Cherry, Bright acid, Brown Spice, Cherry, Citrus, Floral, Fresh juice, Ginger, Green notes, Honey, Jasmine, Lemon & Lime, Lime, Lychee, Raisin, Red Grape, Squash, Toast, Vanilla","Citric Acid , Bright, Lemon, Lemon & Lime, Malic Acid, Malt, Red Apple, Sparkling, Tartaric",Washed,"Caturra, Catuai, Borbon",,,Nicaragua
225,1a,91.6,LOS ALPES,221.59,$73.50,"$16,286.87","Snow Beans Coffee – Japan, YN Coffee, WAVY COFFEE",Inversiones Valladarez Acevedo S.A,1600,Nicaragua,2023,,,"Jasmine, Acacia, Apricot, Bilberry, Cherry, Cítricos, Coffee Blossom, Guava, Guayaba, Honeydew, Lemon, Mandarina, Melocoton, Melon, Vanilla","Jasmine, Peach, Chocolate, Floral, Honey, Raspberry, Tropical Fruit, Bergamot, Berry, Black Tea, Blackberry, Clementine, Coconut, Cola, Complex fruit and floral, Fruit punch, Green Apple, Green Grape, Honeydew, Lemongrass, Lime, Nectarine, Orange, Passion Fruit, Pear, Peony, Rose, Stone Fruit, Strawberry, Sweet & Sugary, Tea Rose, Vanilla, Watermelon","Bright, Complex, Crisp, Green Apple, Juicy, Lively, Malic Acid, Tangerine, Tartaric, Vibrant",Natural,Geisha,,,Nicaragua
226,1b,91.6,LOS ALPES,198.42,$80.10,"$15,893.44","NOZY COFFEE, manucoffee, hugcoffee, ocami coffee – Japan",Inversiones Valladarez Acevedo S.A,1600,Nicaragua,2023,,,"Jasmine, Acacia, Apricot, Bilberry, Cherry, Cítricos, Coffee Blossom, Guava, Guayaba, Honeydew, Lemon, Mandarina, Melocoton, Melon, Vanilla","Jasmine, Peach, Chocolate, Floral, Honey, Raspberry, Tropical Fruit, Bergamot, Berry, Black Tea, Blackberry, Clementine, Coconut, Cola, Complex fruit and floral, Fruit punch, Green Apple, Green Grape, Honeydew, Lemongrass, Lime, Nectarine, Orange, Passion Fruit, Pear, Peony, Rose, Stone Fruit, Strawberry, Sweet & Sugary, Tea Rose, Vanilla, Watermelon","Bright, Complex, Crisp, Green Apple, Juicy, Lively, Malic Acid, Tangerine, Tartaric, Vibrant",Natural,Geisha,,,Nicaragua
227,2a,90.25,BUENOS AIRES,329.59,$53.50,"$17,633.07",PRIVATE RESERVE (China) /玫瑰咖啡ROSE CAFÉ/ 乜早咖啡 / 乐否咖啡 Leforkaffe,Inversiones Valladarez Acevedo S.A,1400,Nicaragua,2023,,,"Alcohol, Black Cherry, Black Currant, Cola, Concord Grape, Dark Chocolate, Lemon, Licorice-anise, Maple Syrup, Pomegranate, Prune, Winey","Dried Fruit, Lime, Pineapple, Star Fruit, Apricot, Bergamot, Black Tea, Blackberry, Cheese, Cherry, Chocolate, Cider, Clove, Fermented, Ginger, Golden apple, Golden Raisin, Grape, Green Apple, Honeysuckle, Jasmine, Lemongrass,  Milk Chocolate, Passion Fruit, Peach, Pear, Plum, Raspberry, Red Apple, Vanilla, White wine,Yellow fruits","Bright, Fuji Apple, Juisy, Lemon & Lime, Malic Acid, Orange, Sharp, Sparkling, Winey",Natural,Maracaturra,,,Nicaragua
228,2b,90.25,BUENOS AIRES,198.42,$60.10,"$11,925.04",NOZY COFFEE – Japan,Inversiones Valladarez Acevedo S.A,1400,Nicaragua,2023,,,"Alcohol, Black Cherry, Black Currant, Cola, Concord Grape, Dark Chocolate, Lemon, Licorice-anise, Maple Syrup, Pomegranate, Prune, Winey","Dried Fruit, Lime, Pineapple, Star Fruit, Apricot, Bergamot, Black Tea, Blackberry, Cheese, Cherry, Chocolate, Cider, Clove, Fermented, Ginger, Golden apple, Golden Raisin, Grape, Green Apple, Honeysuckle, Jasmine, Lemongrass,  Milk Chocolate, Passion Fruit, Peach, Pear, Plum, Raspberry, Red Apple, Vanilla, White wine,Yellow fruits","Bright, Fuji Apple, Juisy, Lemon & Lime, Malic Acid, Orange, Sharp, Sparkling, Winey",Natural,Maracaturra,,,Nicaragua
229,3,89.45,SANTA CRUZ,623,$20.80,"$12,958.40",SARUTAHIKO COFFEE – Japan,Sara Isabel Corrales Rivas,1450,Nicaragua,2023,,,"Brown Sugar, Caramelo, Cardamon Caraway, Cherry, Hibiscus, Malta, Maracuya, Mora,  Plum, Pomegranate, Red Currant,  Strawberry, Sundried Tomato, Winey","Floral, Melon, Passion Fruit, Black Cherry,  Blood orange, Blueberry, Butter, Cheese, Cherry, Citrus Fruit, Cranberry, Grape,  Honey, Kiwi, Lime, Mango, Nectarine, Orange, Pear, Pineapple, Prickly pear, Raspberry, Red wine, Strawberry","Bright, Tartaric, Citric Acid, Complex, Crisp, Grape, Orange, Plum, Sharp, Vibrant, Winey",Honey,Maracaturra,,,Nicaragua
230,4,89.3,JESUS MOUNTAIN COFFEE,"2,182.57",$8.20,"$17,897.07","Coffee Libre – South Korea Times Club, Japan. – Nylon Coffee Roasters.","Jesús Mountain Coffee Company Nicaragua, S.A",1450,Nicaragua,2023,,,"Pineapple, Brown Spice, Caramel, Green Apple, Lime, Mora,  Peach, Sage,","Blackberry, Cherry, Floral, Mango, Apricot, Black Cherry, Black Tea, Brown Spice, Chocolate,  Dark Chocolate, Honey, Lemon & Lime, Molasses, Orange, Pipe Tobacco, Plum, Prune, Raisin,","Bright, Cola, Complex, Green Apple, Juicy, Plum, Spritzy, Tangy, Tartaric",Lavado,Pacamara,,,Nicaragua
231,5,88.9,EL CAMBALACHE,500,$17.30,"$8,650.00",SHRUB COFFEE by Marukai,Abner Samuel Zavala González,1450,Nicaragua,2023,,,"Black Currant, Blueberry, Brown Sugar, Bubble gum, Cherry, Chocolate,, Dried Dates, Golden Raisin, Guayaba, Maple Syrup, Prune, Vainilla, Watermelon, Winey","Floral, Berry, Blackberry, Pineapple, Red Apple, Apricot, Blueberry, Caramel, Cherry, Cider, Dark Chocolate, Dried Fruit, Ginger, Grape, Hibiscus, Lime, Mango, Navel Orange, Passion Fruit, Peach, Raspberry, Red fruits, Red Grape, Rose Hips, White wine, Yogurt","Blackberry, Bright, Complex, Concord Grape, Crisp, Lime",Natural,Maracaturra,,,Nicaragua
