,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
31,8,Guatemala,2015,87.93,La Colina,9.4,22744.8,Kyokuto Fadie Corporation,Emilio Antonio Medina Garcia,,San Martin Jilotepeque,Chimaltenango,others_process,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,9,Guatemala,2015,87.53,Corral Viejo,11.2,22796.37,TERAROSA (S.KOREA),Corral Viejo S.A.,,Sansare,El Progreso,others_process,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
33,10,Guatemala,2015,87.4,Rio Arriba,8.8,26673.68,"TOA COFFEE Co.,Ltd & ARAB COFFEE Co.,Ltd",CERCOL S.A.,,Palencia,Guatemala,others_process,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,11,Guatemala,2015,86.4,San Guayaba,6.7,19561.72,COFFEE TEK Roasters [S.KOREA],CERCOL S.A.,,Palencia,Guatemala,others_process,0,1,0,1,0,0,0,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,12,Guatemala,2015,86.3,San Sebastian,6.9,19983.64,M.I. COFFEE CORPORATION,Agropecuaria SALFAR S.A.,,San Miguel Dueñas,Sacatepequez,others_process,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,13,Guatemala,2015,86.2,Santa Rosa Buenos Aires,7.1,13617.8,HARU International Corp.,Hacienda Santa Rosa Buenos Aires S.A.,,La Democracia,Huehuetenango,others_process,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,14,Guatemala,2015,86.13,La Bendicion,7.0,14958.37,Wataru for Ogawa Coffee,José Constantino Gómez Reyes,,Palencia,Guatemala,others_process,0,0,0,1,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,15,Guatemala,2015,86.1,Concepcion Pixcaya,6.9,15198.7,"S U P R E M O (Munich, Germany)",Concepción Pixcaya S.A.,,San Juan Sacatepequez,Guatemala,others_process,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,16,Guatemala,2015,86.05,Santa Ana,6.8,15122.45,"Wataru & Co., Ltd.",Azucar y Café S.A.,,Pueblo Nuevo Viñas,Santa Rosa,others_process,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
40,17,Guatemala,2015,85.97,El Guachipilin,6.8,17539.78,honuKATOCOFFEE Inc.,Aimee Lucia Perez Rios,,Acatenango,Chimaltenango,others_process,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,17,Guatemala,2015,85.97,El Tambor,6.6,14618.74,DONGJIN TRADING,Los Moshos S.A.,,Palencia,Guatemala,others_process,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,18,Guatemala,2015,85.93,La Providencia II,6.4,18814.91,MOMOS COFFEE,Alfonso Augusto Anzueto de León,,San Pedro Necta,Huehuetenango,others_process,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,19,Guatemala,2015,85.78,Alotepeque,6.6,20393.74,M.I. COFFEE CORPORATION,Mario Jordan Duarte,,Concepcion Las Minas,Chiquimula,others_process,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,20,Guatemala,2015,85.72,El Vergel,6.5,14461.72,"Wataru & Co., Ltd.",Fausto Schell Aguilar,,San Rafael Pie de la Cuesta,San Marcos,others_process,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
45,21,Guatemala,2015,85.5,San Isidro,6.2,17048.76,"RYANS COFFEE ROASTERS, Cafe Nara, Cafe Q, KOALA COFFEE FACTORY, Cafe 46, THE CORNER, millo coffee roasters",Agricola San Isidro S.A.,,"San Martin, Sacatepequez",Quetzaltenango,others_process,0,0,0,0,0,1,0,0,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,22,Guatemala,2015,85.15,El Platanar y Anexos (2015),6.7,14778.19,Kaffebrenneriet as,Hector De la Roca Perez,,Acatenango,Chimaltenango,others_process,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,23,Guatemala,2015,85.1,El Aguacate,6.5,19532.31,"Wataru & Co., Ltd.",Jovito Arnoldo Aguilar Muñoz,,Mataquescuintla,Jalapa,others_process,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,Guatemala,2016,92.09,Kalibús la Sierra 2016,42.1,40289.7,"Dabov Specialty Coffee, Latorre & Dutch Coffee Traders, Dutch Barista Coffee Company","Castillo Cerezo, Pompeyo",,San Cristobal Acasaguastln,El Progreso,washed,0,1,0,1,0,1,0,0,0,3,2,7,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
49,1,Guatemala,2016,92.09,Kalibús la Sierra 2016,37.4,35791.8,CKcorporations for LUSSO coffee(KOREA),"Castillo Cerezo, Pompeyo",,San Cristobal Acasaguastln,El Progreso,washed,0,1,0,1,0,1,0,0,0,3,2,7,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50,2,Guatemala,2016,91.18,Los Jutes,53.1,13381.2,Brew92,"Meneses Hernandez, Ana Lucia",,Acatenango,Chimaltenango,natural,0,1,1,0,0,1,0,0,1,4,1,6,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
51,2,Guatemala,2016,91.18,Los Jutes,53.0,13356.0,"Latorre & Dutch Coffee Traders, LaB Coffee & Roasters (USA), Knockhouse Supply Co. Singapore","Meneses Hernandez, Ana Lucia",,Acatenango,Chimaltenango,natural,0,1,1,0,0,1,0,0,1,4,1,6,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
52,3,Guatemala,2016,91.06,El Injerto I,23.6,29146.0,"Coffee Libre, Deep Blue Lake, Coffee Montage, Coffee Place","Aguirre Escobar, Arturo De Jesus",,La Libertad,Huehuetenango,washed,1,1,0,0,0,1,0,0,3,5,2,8,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
53,3,Guatemala,2016,91.06,El Injerto I,23.6,29146.0,Kyokuto Fadie Corporation,"Aguirre Escobar, Arturo De Jesus",,La Libertad,Huehuetenango,washed,1,1,0,0,0,1,0,0,3,5,2,8,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
54,4,Guatemala,2016,90.76,El Centro,29.6,21272.34,"Maruyama Coffee, Uchida Coffee, Coffee A Go Go","Valladares Rodriguez, Inmer Abel",,Monjas,Jalapa,honey,1,1,0,0,0,1,0,0,0,3,4,10,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,4,Guatemala,2016,90.76,El Centro,29.2,19077.24,Grand Cru Coffee (Hong Kong),"Valladares Rodriguez, Inmer Abel",,Monjas,Jalapa,honey,1,1,0,0,0,1,0,0,0,3,4,10,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,5,Guatemala,2016,90.44,La Bella (2016),20.3,21908.57,Campos Coffee,"Engelhardt Ortega, Teodoro Enrique",,San Agustin Acasaguastln,El Progreso,washed,0,1,0,0,0,1,0,0,2,2,0,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,5,Guatemala,2016,90.44,La Bella (2016),21.0,21330.96,"UCC Ueshima Coffee Co., Ltd.","Engelhardt Ortega, Teodoro Enrique",,San Agustin Acasaguastln,El Progreso,washed,0,1,0,0,0,1,0,0,2,2,0,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,6,Guatemala,2016,89.5,Bella Elizabeth (2016),15.15,32845.2,"TOA COFFEE, ARAB COFFEE, Coffee Meikan","Argueta Herrera, Erwin Humberto",,San Pedro Necta,Huehuetenango,washed,0,1,0,1,0,1,0,0,3,5,1,2,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
59,7,Guatemala,2016,89.18,Las Macadamias,15.7,39878.0,TERAROSA(HAKSAN Co.Ltd),"Aguirre Saenz, Arturo Manuel",,La Libertad,Huehuetenango,washed,0,0,0,0,0,0,0,0,1,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,8,Guatemala,2016,89.09,El Vergel (2016),12.1,36892.9,Camel Step Roasters,"Gonzalez Menchu, Juan Francisco",,San Rafael Pie de la Cuesta,San Marcos,washed,0,0,0,0,0,1,0,0,2,2,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,9,Guatemala,2016,88.94,El Morito I (2016),15.4,33387.2,Kyokuto Fadie Corporation,"Monterroso Pineda, Jos Roberto",,Mataquescuintla,Jalapa,washed,0,1,0,0,0,1,0,0,2,2,0,6,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
62,10,Guatemala,2016,88.88,Miralvalle (2016),15.55,33541.35,"UCC Ueshima Coffee Co., Ltd.","Villatoro Gmez, Jorge Heberto",,San Pedro Necta,Huehuetenango,washed,0,1,0,1,0,0,0,0,3,6,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,11,Guatemala,2016,87.44,El Morito II (2016),11.5,26231.5,Marubeni Foods,"Monterroso Pineda, Jos Roberto",,Mataquescuintla,Jalapa,washed,0,1,0,0,0,0,0,0,0,1,0,4,1,0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
64,11,Guatemala,2016,87.44,Santa Bárbara,10.4,30430.4,NAGAHAMA COFFEE Inc.,"Ventura Zamora, Mario Rafael",,Fraijanes,Guatemala,washed,0,0,0,0,0,0,0,0,2,1,1,4,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
65,13,Guatemala,2016,87.24,La Esperanza de Méndez (2016),8.3,23563.7,"Tres Cabezas Berlin Stock Spittel GbR, List & Beisler GmbH Hamburg","Mendez Juarez, Rogelio",,San Cristobal Cuchu,San Marcos,washed,0,1,0,1,0,0,0,0,2,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,14,Guatemala,2016,87.0,Plan de la Vega (2016),8.3,21463.8,Orsir Coffee(Taiwan),"Argueta Herrera, Erwin Humberto",,Union Cantinil,Huehuetenango,washed,0,0,0,0,0,0,0,0,3,4,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
