,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
51,20,Brazil,2021,87.83,Fazenda Pedro Rodrigues,8.6,6541.16,"

Honu Kato Coffee Inc.

",Valgleber Sacramentos Santos Mafra,1550.0,,,natural,0,0,0,0,0,0,1,1,5,5,0,4,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,21,Brazil,2021,87.8,Sítio Mutuca,8.5,10962.54,"

Linking Coffee Co., Ltd.

",Nathan Lopes Sanglard,1250.0,,,others_process,0,1,0,0,0,0,0,0,2,4,1,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,22,Brazil,2021,87.67,Fazenda Pedra Preta,8.6,13366.64,"

Wataru & Co., Ltd.

",Claudia Maria Carneiro Bustamante,1280.0,,,natural,0,0,0,0,0,0,0,0,4,2,0,7,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,23,Brazil,2021,87.47,Fazenda Rainha,18.6,14762.26,"

KALDI COFFEE FARM

",Fazenda Sertãozinho Ltda.,1570.0,,,natural,0,0,0,0,0,0,0,0,2,3,1,5,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,24,Brazil,2021,87.4,Sítio Da Serra,8.5,7027.21,GLITCH COFFEE & ROASTERS,Paulo Henrique Miranda,1300.0,,,others_process,0,0,0,0,0,0,0,1,1,3,1,12,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,25,Brazil,2021,87.33,Sitio São João,8.5,5621.82,Wataru for Voila Coffee,João Batista Dos Santos,1100.0,,,others_process,0,0,0,0,0,0,0,1,3,1,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,26,Brazil,2021,87.33,Sítio Rancho Dantas,9.2,7301.76,"

Linking Coffee Co., Ltd.

",Florentino Meneguetti,1050.0,,,others_process,0,0,0,0,0,0,0,1,5,5,1,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,27,Brazil,2021,87.3,Fazenda Irmãs Pereira,9.2,7301.76,"

Linking Coffee Co., Ltd.

",Maria Rogéria Costa Pereira E Outros,1100.0,,,others_process,0,0,0,0,0,0,1,1,6,5,2,8,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,28,Brazil,2021,87.17,Sitio Santa Barbara,8.2,8677.4,"

Wataru & Co., Ltd.

",Lindolfo Martins De Assunção,1378.0,,,others_process,0,1,0,0,0,0,0,0,4,2,2,5,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,29,Brazil,2021,87.1,Fazenda Ponte Alta,8.1,5892.99,"

Wataru & Co., Ltd.

",Marina Brito Oliveira,1280.0,,,natural,0,0,0,0,0,1,0,0,4,3,1,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,1,Brazil,2022,91.41,Fazenda Tijuco,43.0,19907.71,Caffè Pascucci Torrefazione S.p.A.,Antonio Rigno de Oliveira Filho,,,,natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,1,Brazil,2022,91.41,Fazenda Tijuco,42.9,19861.41,"KALDI COFFEE FARM (CAMEL COFFEE CO.,LTD.)",Antonio Rigno de Oliveira Filho,,,,natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,2,Brazil,2022,90.59,Sitio Bonilha,31.0,11276.56,Kyokuto Fadie Corporation,Maridalton Silva Santana,,,,others_process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,2,Brazil,2022,90.59,Sitio Bonilha,30.4,11058.3,TAKAMURA COFFEE ROASTERS by MARUKAI,Maridalton Silva Santana,,,,others_process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,3,Brazil,2022,90.53,FAZENDA RECANTO,15.7,6230.23,NOZY COFFEE,AFONSO MARIA VINHAL,,,,natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,3,Brazil,2022,90.53,FAZENDA RECANTO,15.8,6269.91,Wataru for GOLPIE COFFEE,AFONSO MARIA VINHAL,,,,natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,4,Brazil,2022,90.47,Fazenda Recreio,25.1,14110.72,"KALDI COFFEE FARM (CAMEL COFFEE CO.,LTD.)",HOMERO TEIXEIRA DE MACEDO JUNIOR,,,,natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,5,Brazil,2022,90.41,CASA BRÁS,40.0,29100.8,taf coffee,Pedro Brás,,,,natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
