,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
37,14,Rwanda,2010,85.93,BUF Coffee Nyarusiza/…,7.65,13998.28,"Wataru & Co., Ltd.",Nsabimana Martin,1750.0,Nyamagabe,Southern,others_process,0,0,0,0,0,0,0,0,1,1,2,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,15,Rwanda,2010,85.83,Muyongwe/ (SOTKAMU)…,8.6,19149.36,SAZA COFFEE,Habiyakare Sylivestre,1800.0,Gakenke,Northern,others_process,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
39,16,Rwanda,2010,85.15,Matyazo Coffee,7.3,14162.51,"Wataru & Co., Ltd.",Muhawenimana David,1800.0,Ngororero,Western,others_process,0,0,0,0,0,0,0,2,2,4,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,17,Rwanda,2010,84.98,KOAKAKA/Karambi/ RWASHOSCCO,7.55,14481.05,"Carrboro Coffee Roasters (Carborro, NC), Bard Coffee (Portland, ME), and PT’s Coffee (Topeka, KS)",Tegibanze Innocent,1750.0,Huye,Southern,others_process,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,18,Rwanda,2010,84.95,Kopakaki Dutegure/ MISOZI,7.85,14710.35,Coffee Bean International for Target,Ngarukia Fidisien,1600.0,Karongi,Western,others_process,0,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,19,Rwanda,2010,84.93,MIG/Kibumbwe,7.55,16312.0,"Wataru & Co., Ltd.",Rwigema Evariste,1900.0,Nyamagabe,Southern,others_process,0,0,0,0,0,0,0,0,4,1,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,20,Rwanda,2010,84.48,Mwasa CWS,7.3,22531.23,honuKATOCOFFEE Inc.,Giraneza Clasto,1750.0,Nyamasheke,Western,others_process,0,0,0,0,0,0,1,1,3,1,0,3,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
44,21,Rwanda,2010,84.45,MIG/Buremera,7.05,17252.27,"Java Coffee (Poland), Kaffa (Norway), Square Mile Coffee (UK), Da Matteo (Sweden), La Boheme (Czech Republic), Kaffitar (Iceland), Rast Kaffee (Switzerland), and Kult Kaffee (Germany)",Nyirabuhoro Josephina,1800.0,Huye,Southern,others_process,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,22,Rwanda,2010,84.18,Karama/Maraba IV/ RWASHOSCCO,7.3,14001.55,"Wataru & Co., Ltd.",Munganyinka Zephiline,1750.0,Huye,Southern,others_process,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,1,Rwanda,2011,89.5,API Mushonyi,20.1,43906.64,Maruyama Coffee (Japan) and Orsir Coffee (Taiwan),Nzabahimana Frodouard,1828.0,Rutsiro,Western,others_process,0,0,0,0,0,0,0,0,4,3,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,2,Rwanda,2011,88.69,Kageyo Coffee,20.1,38815.91,"Terarosa, Beanybeans Coffee & Beany Roasters, Old tree (S. Korea) and Invalsa Coffee® (USA)",Ndarusanze Faustin,1998.0,Ngororero,Western,others_process,0,0,0,0,0,1,0,1,1,2,1,5,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
