,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
25,3,Honduras,2015,90.65,El Durazno,23.1,36590.4,"UCC Ueshima Coffee Co., Ltd.",Marcelo Olvan Ventura,,Jesus de Otoro,Intibuca,others_process,0,1,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
26,4,Honduras,2015,90.42,El Espejo,10.6,14691.6,CAFFE PASCUCCI S.p.A.,Fredy Leonel Castellanos Hernandez,,Las Vegas,Santa Bárbara,others_process,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5,Honduras,2015,89.5,Moreno (2015),6.2,16777.2,M.I. COFFEE CORPORATION,Pedro Moreno,,Las Vegas,Santa Bárbara,others_process,0,0,1,0,0,0,0,0,1,1,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6,Honduras,2015,89.27,El Liquidambar,7.8,9266.4,"Almacielo, De Ballon",Maria Nery Marquez Granados,,Marcala,La Paz,others_process,0,0,0,0,0,1,0,0,1,3,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,7,Honduras,2015,88.85,Las Moras,11.1,10989.0,"TOA COFFEE Co.,Ltd.",Angel Daniel Rodriguez Funez,,La Paz,La Paz,others_process,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,8,Honduras,2015,88.27,Liquidambar,8.6,13054.8,MOMOS COFFEE,Guadalupe Rodriguez,,Masaguara,Intibuca,others_process,0,0,1,0,0,1,0,1,3,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,9,Honduras,2015,88.08,Las Flores,6.3,11226.6,"Time’s Club, Tashiro Coffee (JAPAN) // Proud Mary (AUSTRALIA) // Coffee Libre (KOREA)",Maria de Jesus Lontero Montoya,,Santa Bárbara,Santa Bárbara,others_process,0,0,0,1,0,0,0,0,1,1,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,10,Honduras,2015,87.88,Mi Esperanza,5.1,6732.0,MOKKA SPECIALITY COFFEE,Dunia Aracely Sanchez Vasques,,Santa Elena,La Paz,others_process,0,0,0,0,0,0,0,1,0,1,3,3,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,11,Honduras,2015,87.83,El Aguacate,5.4,8197.2,Campos Coffee,Selvin Javier Castillo,,La Paz,Comayagua,others_process,0,0,1,1,0,0,0,0,1,3,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,12,Honduras,2015,87.58,Mi Paz (2015),5.1,6732.0,Kyokuto Fadie Corporation,Olvin Esmelin Fernandez Paz,,Santa Bárbara,Santa Bárbara,others_process,0,0,1,0,0,0,0,0,4,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,13,Honduras,2015,87.46,Santa Lucia (2015),7.1,8903.4,Campos Coffee,Café Azul Meambar,,Siguatepeque,Comayagua,others_process,0,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,13,Honduras,2015,87.46,El Retoño (2015),5.1,6732.0,"Linking Coffee Co., Ltd.",Suyapa Leticia Argueta Suazo,,San Sebastian,Comayagua,others_process,0,0,0,0,1,1,0,0,0,2,1,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,15,Honduras,2015,87.33,El Nacimiento,5.0,6600.0,NAGAHAMA COFFEE Inc.,Job Neel Cáceres Diaz,,Santa Bárbara,Santa Bárbara,others_process,0,0,0,0,0,1,0,1,5,2,0,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,16,Honduras,2015,87.29,La Quebrada,5.1,6395.4,"KAFFA as, Oslo",Dolmin Josue Moreno Alvarado,,Las Vegas,Santa Bárbara,others_process,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
