,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
49,25,Nicaragua,2014,85.13,La Esperanza,7.6,16887.2,honuKATOCOFFEE Inc.,Salatiel De Jeús Zavala Ferrufino,1300.0,Dipilto-Las Manos,Nueva Segovia,others_process,1,0,0,0,0,0,0,2,4,3,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,1,Nicaragua,2015,89.69,Buenos Aires (2015),21.6,32680.8,"Time’s Club, Kyokuto Fadie, Tashiro Coffee, TOA coffee, HoneyCoffee (JAPAN) // Coffee Libre (KOREA)",Luis Emilio Valladarez,,Dipilto,Nueva Segovia,others_process,0,1,1,0,0,0,0,0,0,2,1,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,Nicaragua,2015,89.35,La Picona 2015,11.0,14553.0,"Maruyama Coffee, Yokoi Coffee, Adachi Coffee, Yamada Coffee",Olga Marina Gonzalez Cuadra,,Dipilto,Nueva Segovia,others_process,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3,Nicaragua,2015,89.27,Los Altos,10.0,15670.0,Campos Coffee,"Palta, S.A (Fincas Mierisch)",,Matagalpa,Matagalpa,others_process,0,1,0,0,0,0,0,0,1,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,4,Nicaragua,2015,88.96,La Esperanza,6.2,7173.4,Bewleys Coffee,Carlos Alexander Lopez Pastrana,,Mozonte,Nueva Segovia,others_process,1,0,0,1,0,1,0,0,1,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5,Nicaragua,2015,88.85,Fila Alta (2015),5.6,9391.2,Campos Coffee,Henry Alexander Marin,,Mozonte,Nueva Segovia,others_process,0,1,1,1,0,0,0,0,1,0,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,6,Nicaragua,2015,88.73,San Alberto,4.7,8680.9,"GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Martha Delfina Ash,,Jinotega,Jinotega,others_process,1,0,0,0,0,0,0,0,1,6,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,7,Nicaragua,2015,88.54,La Ventaja,6.0,7740.0,"UCC Ueshima Coffee Co., Ltd.",Sergio Jose Paguaga Gonzalez,,Dipilto,Nueva Segovia,others_process,0,0,0,0,0,0,0,0,1,0,1,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,8,Nicaragua,2015,88.19,Las Nubes (2015),7.7,18264.4,UCC Ueshima Coffee Co. UK,Carlos Alberto Bendaña Albir,,Dipilto,Nueva Segovia,others_process,0,0,0,0,0,1,0,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,9,Nicaragua,2015,88.08,Agropecuaria Santa Maura,4.4,7972.8,"GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)","Agropecuaria Santa Maura, S.A.",,Jinotega,Jinotega,others_process,0,1,0,1,0,0,0,0,1,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,10,Nicaragua,2015,87.96,La Carolina (2015),4.2,5972.4,WATARU for OGAWA COFFEE,Andres Figueroa Lopez,,Dipilto,Nueva Segovia,others_process,0,0,0,1,0,1,0,0,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,11,Nicaragua,2015,87.31,Linda Vista (2015),4.3,6389.8,UCC Ueshima Coffee Co. UK,Antonio Galo Sanchez,,Dipilto,Nueva Segovia,others_process,0,1,0,0,0,1,0,0,1,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,11,Nicaragua,2015,87.31,La Estacion (2015),7.0,5096.0,Mercanta the Coffeehunters (UK) // Den Gyldne Bonne (NORWAY),Universidad CentroAmericana (UCA),,Jinotega,Jinotega,others_process,1,0,0,0,0,0,0,0,1,0,2,6,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,13,Nicaragua,2015,87.08,San Jose (2015),6.0,8928.0,Kyokuto Fadie Corporation,Eudoro Jose Guillen Jarquin,,Dipilto,Nueva Segovia,others_process,0,1,0,1,0,0,0,0,0,1,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,14,Nicaragua,2015,87.0,El Roble (2015),4.0,4232.0,"Wataru & Co., Ltd.",Yojana Azucena Figueroa Gonzalez,,Dipilto,Nueva Segovia,others_process,0,0,0,1,0,0,0,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,15,Nicaragua,2015,86.96,Santa Fe,4.1,6715.8,"GSC International Co., Ltd. (KOREA) // Shanghai Borong International Trading Co., Ltd (CHINA)",Inagrosa,,San Rafael del Norte,Jinotega,others_process,0,0,0,1,0,0,0,0,2,2,3,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,16,Nicaragua,2015,86.88,El Suyatal,4.4,6353.6,Ecom Japan Limited,Luis Emilio Valladarez,,Macuelizo,Nueva Segovia,others_process,0,0,0,0,0,1,0,0,1,1,1,7,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,16,Nicaragua,2015,86.88,San Jorge (2015),6.9,9556.5,"Wataru & Co., Ltd.",Elisa Maria Callejas Lopez (Ramacafe),,Tuma - La Dalia,Matagalpa,others_process,0,0,0,0,0,1,0,0,1,0,0,5,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,18,Nicaragua,2015,86.73,La Escondida,4.1,5153.7,"TASHIRO COFFEE Co.,Ltd",Mario Jose Vilchez Urbina,,Mozonte,Nueva Segovia,others_process,0,0,0,0,0,1,0,0,2,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,19,Nicaragua,2015,86.69,El Barril,10.3,17376.1,"Caravela Coffee for Passenger Coffee, Vigilante Coffee, Boston Stoker (USA) // Holly Brown (HONG KONG)",Francisco Javier Valle Garcia,,San Fernando,Nueva Segovia,others_process,0,0,0,0,1,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,20,Nicaragua,2015,86.58,El Ojo de Agua / Finca San…,4.0,4576.0,Maruyama Coffee,Ali Francisco Herrera Rivera / Liseth Del Carmen Herrera Rivera,,Mozonte,Nueva Segovia,others_process,0,0,0,1,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,20,Nicaragua,2015,86.58,Luz y Sombra de Janeiro,4.9,7776.3,MOMOS COFFEE,Alfredo Arauz Siles,,San Rafael del Norte,Jinotega,others_process,1,0,1,0,0,0,0,0,1,1,1,4,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,22,Nicaragua,2015,86.35,El Mango,4.1,8950.3,"Wataru & Co., Ltd.",Yolanda del Carmen Reyes Gutierrez,,San Juan del Rio Coco,Madriz,others_process,0,1,0,0,0,1,0,0,1,3,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,23,Nicaragua,2015,86.19,El Porvenir,4.6,4232.0,"WATARU for FRESH ROASTER COFFEE TONYA CO., LTD.",Randolfo Alberto Llanes Lopez,,Dipilto,Nueva Segovia,others_process,0,0,0,1,0,0,0,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,24,Nicaragua,2015,86.15,El Recuerdo,4.1,4879.0,"Wataru & Co., Ltd.",Henry Antonio Herrera Rivera,,Mozonte,Nueva Segovia,others_process,0,0,0,0,0,1,0,0,2,0,0,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,25,Nicaragua,2015,86.12,El Cedro,4.1,9167.6,"RYANS COFFEE ROASTERS, Cafe Nara, CAFE Q, LK ESPRESSO, ACID BROWN COFFEE, BROWNHOLIC COFFEE ROASTERS, BERRY BEANS, S.W Park",Maria Auxiliadora Gonzalez,,San Juan del Rio Coco,Madriz,others_process,0,0,1,1,0,0,0,0,1,1,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,25,Nicaragua,2015,86.12,La Bendicion,4.6,5322.2,honuKATOCOFFEE Inc.,Luis Alberto Balladarez Moncada,,Jalapa,Nueva Segovia,others_process,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,27,Nicaragua,2015,86.04,Las Neblinas,4.1,6461.6,Kaffebrenneriet as,Carlos Alberto Cruz Lopez,,Jalapa,Nueva Segovia,others_process,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,28,Nicaragua,2015,86.0,La Cascada,4.0,5772.0,"Wataru & Co., Ltd.",Luis Alberto Peralta Mantilla,,Dipilto,Nueva Segovia,others_process,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,29,Nicaragua,2015,85.88,San Salvador,4.0,5812.0,"Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, Crema Costa, Beanstore(Buchon)",Luis Emilio Valladarez,,Dipilto,Nueva Segovia,others_process,0,0,0,0,0,0,0,0,1,1,1,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,30,Nicaragua,2015,85.77,Volcancito (2015),4.0,9524.0,"Cafe DAZAC, Coffee Sallim Factory, Juk-dong Cafe D, Crema Costa, Beanstore(Buchon)",Rogelio Ramon Guitterez,,Jinotega,Jinotega,others_process,0,0,0,0,0,0,0,0,3,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,30,Nicaragua,2015,85.77,Las Cumbres,4.1,5965.5,"Nippon Coffee Trading Co.,Ltd",Walter Jose Picado Perez,,Limay,Esteli,others_process,0,1,0,0,0,1,0,0,2,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,32,Nicaragua,2015,85.54,Flor Silverstre,4.9,6159.3,MOMOS COFFEE,Maria Elisa Ortez Siles,,San Fernando,Nueva Segovia,others_process,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,33,Nicaragua,2015,85.35,El Naranjo,4.1,5342.3,MOMOS COFFEE,Pedro Pablo Paguaga Nuñez,,Dipilto,Nueva Segovia,others_process,0,0,0,0,0,1,0,0,0,2,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,34,Nicaragua,2015,85.08,La Laguna (2015),4.0,5556.0,Ecom Japan Limited,Luis Emilio Valladarez,,Dipilto,Nueva Segovia,others_process,0,0,0,0,0,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
