,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
155,3,Colombia,2018,91.0,Manantiales del Frontino,18.35,8495.5,"Maruyama Coffee Co., Ltd.",Andres Londoño Montoya,1700.0,Caicedonía,Valle del Cauca,washed,0,0,0,1,0,1,0,0,2,1,1,6,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
156,3,Colombia,2018,91.0,Manantiales del Frontino,18.35,8495.5,Haru International Corporation,Andres Londoño Montoya,1700.0,Caicedonía,Valle del Cauca,washed,0,0,0,1,0,1,0,0,2,1,1,6,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
157,4,Colombia,2018,90.91,Las Cuevas,12.6,6666.66,Haru International Corporation,Robinson Olivera,1800.0,Planadas,Tolima,washed,1,0,1,0,0,0,0,0,1,1,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
158,4,Colombia,2018,90.91,Las Cuevas,12.5,6613.75,"Time’s Club,  Coffee Libre",Robinson Olivera,1800.0,Planadas,Tolima,washed,1,0,1,0,0,0,0,0,1,1,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
159,5,Colombia,2018,90.85,El Cairo,20.0,3968.2,CAFFE PASCUCCI,Eiver Leonardo Gomez Melo,2200.0,Consaca,Nariño,washed,1,1,0,0,1,1,0,0,0,3,0,7,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
160,5,Colombia,2018,90.85,El Cairo,20.0,3968.2,Café Pasadena,Eiver Leonardo Gomez Melo,2200.0,Consaca,Nariño,washed,1,1,0,0,1,1,0,0,0,3,0,7,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
161,6,Colombia,2018,90.79,El Mirador 1,19.1,8842.73,Caffeine Lab,Alba Diela López Riascos,2050.0,Buesaco,Nariño,honey,1,0,0,0,0,0,0,1,2,1,0,10,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
162,6,Colombia,2018,90.79,El Mirador 1,18.35,8495.5,Fisher Coffee / Latorre & Dutch Coffee,Alba Diela López Riascos,2050.0,Buesaco,Nariño,honey,1,0,0,0,0,0,0,1,2,1,0,10,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
163,7,Colombia,2018,90.53,El Cairo,20.4,8769.96,Kyokuto Fadie Corporation,Lucas German Melo,2000.0,Consaca,Nariño,washed,1,1,0,1,0,1,0,0,1,1,0,8,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
164,7,Colombia,2018,90.53,El Cairo,20.5,8812.95,Caravela Coffee,Lucas German Melo,2000.0,Consaca,Nariño,washed,1,1,0,1,0,1,0,0,1,1,0,8,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
165,8,Colombia,2018,90.24,El Brasil,8.4,3611.16,"Wataru & Co., Ltd",Duvier Tibaguy Guevara,2003.0,Planadas,Tolima,washed,1,1,0,0,0,1,0,0,1,1,0,3,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
166,8,Colombia,2018,90.24,El Brasil,8.4,3611.16,Carrboro Coffee Roasters,Duvier Tibaguy Guevara,2003.0,Planadas,Tolima,washed,1,1,0,0,0,1,0,0,1,1,0,3,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
167,9,Colombia,2018,90.21,El Plan,7.0,8796.34,"Wataru & Co., Ltd",Juan Bautista Lasso Bolaños,2000.0,San Pedro Cartago,Nariño,washed,1,0,0,0,0,0,0,0,1,2,1,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
168,9,Colombia,2018,90.21,El Plan,7.0,8796.34,M.I.COFFEE CORPORATION,Juan Bautista Lasso Bolaños,2000.0,San Pedro Cartago,Nariño,washed,1,0,0,0,0,0,0,0,1,2,1,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
169,10,Colombia,2018,89.76,El Paraiso,54.1,46514.64,Blossom Valley Intl & The Few Coffee,Diego Samuel Bermudez Tapia,2050.0,Cauca,Piendamo,washed,0,0,0,1,1,0,0,1,0,2,1,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
170,11,Colombia,2018,88.85,El Paraiso,8.0,10052.96,Vital Proteins,Jose Gomez,1.8,Buesaco,Nariño,washed,0,0,0,0,1,0,0,1,2,1,1,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
171,12,Colombia,2018,87.65,El Vergel,6.8,12142.96,BPC for Coffee Fiel,Juval Antonio Gutierrez,1750.0,Santa Maria,Huila,washed,0,0,0,0,0,1,0,1,1,3,0,5,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
172,13,Colombia,2018,87.62,El Diviso,13.2,11349.23,La Boheme Cafe,Linarco Rodriguez Ospina,1.7,Palestina,Huila,washed,1,0,0,0,1,0,0,0,0,2,0,2,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
173,14,Colombia,2018,87.53,Llano Redondo,8.2,13015.94,Kaffebrenneriet As,Angel Maria Lopez Imbajoa,2.15,Buesaco,Nariño,washed,0,0,0,0,0,1,0,0,1,2,0,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
174,15,Colombia,2018,87.5,Mexico,7.5,6448.43,BPC for Coffee Fiel,Mexico,2.18,Buesaco,Nariño,washed,0,1,0,0,0,1,0,0,2,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,16,Colombia,2018,87.38,Los Alpez,8.1,7232.17,Caravela Coffee,Amparo Pajoy,1.8,La Plata,Huila,washed,0,1,0,0,0,0,0,0,2,1,0,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
