,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
110,22,Costa Rica,2017,87.09,Finca Doña Nina 2017,12.4,13941.94,"CUPPERS COOPERATIVE S.KOREA, Sweet Step Coffee, Santorini Coffee",Grupo Los Grande de Copey S.A.,,-,Tarrazú,honey,1,0,0,1,0,1,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,23,Costa Rica,2017,87.06,Los Tucanes 2017,10.3,10899.56,"Wataru & Co., Ltd",Luis Pablo Bonilla Solis,,-,Tarrazú,honey,0,0,0,1,0,1,0,0,3,3,0,7,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,24,Costa Rica,2017,86.97,DON EVANGELISTA 2017,10.3,15327.53,"Wataru for FRESH ROASTER COFFEE TONYA CO., LTD.",GELBERT NARANJO VARGAS,,-,Tarrazú,honey,0,0,0,0,0,1,0,0,1,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,25,Costa Rica,2017,86.94,Sin Limites 2017,10.32,10920.73,NAGAHAMA COFFEE Inc.,Maribel Barrantes Zuñiga,1500.0,-,Valle Occidental,honey,1,0,0,0,0,0,0,0,1,2,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,26,Costa Rica,2017,86.94,Finca Parritilla 2017,10.0,10582.1,"Wataru & Co., Ltd.",Jorge Mario Araya Mora,,-,Tarrazú,honey,0,0,1,0,0,0,0,0,1,1,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,27,Costa Rica,2017,86.76,"Finca El Alto, Lote El…",12.3,13015.98,Kyokuto Fadie Corporation,Juan Carlos Umaña Umaña,,-,Tarrazú,washed,0,0,0,0,0,1,1,0,4,4,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,28,Costa Rica,2017,86.53,Doña Clemencia 2017,16.2,24642.95,"Linking Coffee Co., Ltd.",Juan Ramon Alvarado Rodriguez,1300.0,-,Valle Central,honey,1,0,1,0,0,0,0,0,0,2,4,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,29,Costa Rica,2017,86.29,la Cumbre 2017,10.0,15211.7,"Nippon Coffee Trading Co., Ltd.",Allan Oviedo Rodriguez,,-,Valle Occidental,honey,0,0,0,0,1,1,0,0,2,1,0,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,1,Costa Rica,2018,91.29,Don Cayito – Luis Ricardo Calderon Madrigal,300.09,158780.62,"Maruyama Coffee, Sarutahiko Coffee, Yamada Coffee",Luis Ricardo Calderon Madrigal,1850.0,DOTA,EL JARDIN,honey,0,0,1,0,0,0,0,0,1,5,3,5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
119,1,Costa Rica,2018,91.29,Don Cayito – Luis Ricardo Calderon Madrigal,111.21,58842.32,"MUSEO Co.,Ltd, Peaberry Limited for Pacamara Coffee Roasters",Luis Ricardo Calderon Madrigal,1850.0,DOTA,EL JARDIN,honey,0,0,1,0,0,0,0,0,1,5,3,5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
120,2,Costa Rica,2018,91.15,Don Antonio – Grupo Los Grandes De Copey S.A.,59.58,31524.37,"Hisashi Yamamoto Coffee(Unir), Time’s Club",Grupo Los Grandes De Copey S.A.,2100.0,Concepcion de San Rafael de Heredia,Concepcion de San Rafael de Heredia,honey,1,0,0,0,0,1,0,0,0,2,2,7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
